r_kpc,rho_bulge,rho_disk,rho_total,M_enc_Msun,G_eff,v_kms,a_kms2_per_kpc,a_m_s2
0.01,280145997194.5452,1954437677.1346495,282100434871.6799,2154235.6363172857,36.02151851815014,88090.20312501388,775988388660.6206,0.02514807650203566
0.05003003003003004,47500015917.098885,1924577288.9829955,49424593206.08188,49183632.79461107,1.1057092282781311,32969.729730816296,21727012313.8165,0.0007041246696637025
0.09006006006006007,22576053663.087536,1895173115.3174822,24471226778.405018,146258235.40582818,0.27106092413353067,20981.063872514685,4887905259.323312,0.00015840625606309804
0.13009009009009012,13475370689.687069,1866218185.9789703,15341588875.666039,281582531.4257295,0.10653628586756395,15185.514935362333,1772616681.9656842,5.74466069058075e-05
0.17012012012012015,8946791742.941328,1837705637.3001575,10784497380.241486,446502987.81146926,0.052645241095834974,11754.763717545446,812217096.706487,2.6322169226644494e-05
0.21015015015015018,6328369282.484788,1809628710.4785693,8137997992.963357,634602623.3859107,0.029977684740975806,9514.481439639985,430765131.5051372,1.3960150228792187e-05
0.25018018018018023,4671860411.757992,1781980749.9744065,6453841161.732398,841076730.2367357,0.01885404119348619,7961.475888383965,253357793.0740524,8.210768686385275e-06
0.29021021021021026,3558490228.647127,1754755201.932874,5313245430.580001,1062295978.1545303,0.012778916591258524,6839.328163502891,161181130.37512326,5.22352583697092e-06
0.3302402402402403,2776611707.1315136,1727945612.630611,4504557319.762125,1295496527.147365,0.009185150064016604,6002.694745930416,109109490.06883027,3.5359985322526376e-06
0.3702702702702703,2208825680.2910023,1701545626.9458575,3910371307.23686,1538557548.4970798,0.006921927004325643,5363.0390432498625,77678901.30208969,2.5174022976178627e-06
0.41030030030030035,1785407960.0653918,1675548986.851996,3460956946.917388,1789839741.280439,0.005422424500022945,4863.544712715386,57650621.15545439,1.8683298002817349e-06
0.4503303303303304,1462721901.053424,1649949529.9341054,3112671430.9875293,2048066954.3744273,0.004386101680387913,4466.278738803884,44295585.771581136,1.4355224845682472e-06
0.49036036036036046,1212299571.6362379,1624741187.9281828,2837040759.5644207,2312238625.2970195,0.003643804177692993,4145.110980708998,35039424.9440707,1.1355506757024545e-06
0.5303903903903905,1014930346.5415794,1599917985.2826824,2614848331.8242617,2581564485.0913405,0.0030954883717684654,3881.5774297323774,28406704.97804099,9.205988135873568e-07
0.5704204204204205,857281033.2293838,1575474037.7420306,2432755070.9714146,2855415508.1671724,0.0026794498005475124,3662.3507677630887,23513907.752897687,7.620340196743577e-07
0.6104504504504505,729874929.0661243,1551403550.951784,2281278480.017908,3133286820.4965014,0.002356233920304985,3477.635564686047,19811516.416844536,6.420476617338144e-07
0.6504804804804806,625837345.8129593,1527700819.0850964,2153538164.8980556,3414769483.2245026,0.0020998102272521556,3320.1185007732306,16946222.354027215,5.491897848048433e-07
0.6905105105105106,540091767.4544159,1504360223.4901736,2044451990.9445896,3699528913.4592423,0.0018925263019552636,3184.263715811712,14684114.51744393,4.7587984645841944e-07
0.7305405405405406,468830489.7325496,1481376231.3583896,1950206721.0909393,3987288303.0003185,0.0017221168256726263,3065.8292511226205,12866238.730686134,4.1696649153633013e-07
0.7705705705705707,409157625.20798045,1458743394.4127538,1867901019.6207342,4277815824.6725035,0.0015798732704175504,2961.528782294844,11382024.00056173,3.6886635740540443e-07
0.8106006006006007,358843264.77400154,1436456347.6164162,1795299612.3904178,4570914725.8415785,0.0014594916339659679,2868.790961851368,10152918.190169422,3.290337421233726e-07
