r_kpc,v_km_s,a_m_s2
0.1,432.7741561044886,1872934.7019195226
0.2,431.4165879632514,930601.3618492691
0.30000000000000004,430.0748152146149,616547.8222729503
0.4,428.74853940795805,459563.27511114336
0.5,427.43746817585384,365405.5784011681
0.6,426.141315120504,302660.7007543878
0.7000000000000001,424.8597997017259,257865.49914655802
0.8,423.5926471264686,224288.41337451118
0.9,422.33958823987854,198189.69754958907
1.0,421.1003594179068,177325.51270189031
1.1,419.87470246146097,160267.96887918215
1.2000000000000002,418.6623644920978,146065.1462017618
1.3000000000000003,417.46309784925836,134058.0292814611
1.4000000000000001,416.2766599890403,123775.8983225936
1.5000000000000002,415.10281338450295,114873.5637864863
1.6,413.9413254275024,107092.13806042341
1.7000000000000002,412.79196833205106,100233.65242320532
1.8000000000000003,411.65451903919234,94144.13502521596
1.9000000000000001,410.5287591233878,88702.0326670466
2.0,409.41447470040583,83810.10604710462
2.1,408.3114563367056,79389.64065514354
2.2,407.2194989603038,75376.23651521857
2.3000000000000003,406.13840177312,71716.69625861922
2.4000000000000004,405.06796816478476,68366.69118047794
2.5000000000000004,404.0080056279018,65288.98744457388
2.6,402.9583256747551,62452.0816271546
2.7,401.9187437554443,59829.139474797965
2.8000000000000003,400.88907917744075,57397.16207276298
2.9000000000000004,399.8691550265472,55136.32453160167
3.0000000000000004,398.8587980892518,53029.446937734174
3.1,397.8578387764589,51061.56770189509
3.2,396.86611104858633,49219.59690588401
3.3000000000000003,395.8834523420119,47492.032678251504
3.4000000000000004,394.9097034968559,45868.72762234548
3.5000000000000004,393.94470868608465,44340.69528621831
3.6,392.9883153459193,42899.948888451036
3.7,392.04037410753455,41539.36619739882
3.8000000000000003,391.1007387300329,40252.57574609933
3.9000000000000004,390.16926603467584,39033.86055334299
4.0,389.2458158403593,37878.07628730672
4.1,388.3302509003146,36780.58140592714
4.2,387.42243684001977,35737.17727787122
4.3,386.5222420963045,34744.0566593382
4.3999999999999995,385.62953785763284,33797.75919733897
4.5,384.74419800554585,32895.132866429034
4.6,383.8660990572486,32033.300435962916
4.7,382.99512010932494,31209.630218628987
4.8,382.1311427825621,30421.710475897267
4.9,381.27405116787014,29667.326957950947
5.0,380.42373177327823,28944.443139261428
5.1,379.58007347199134,28251.18277980438
5.2,378.74296745149104,27585.81449883869
5.3,377.91230716366397,26946.738095427077
5.4,377.0879882759403,26332.472389258455
5.5,376.26990862342745,25741.64438826954
5.6,375.4579681620208,25172.9796172059
5.7,374.6520689224758,24625.293464542374
5.8,373.85211496542695,24097.48342484876
5.9,373.0580123373336,23588.522130352907
6.0,372.2696690273409,23097.45107962099
6.1,371.4869949250367,22623.374983349877
6.2,370.70990177909107,22165.45665759086
6.3,369.93830315676047,21722.91240357194
6.4,369.1721144042427,21295.007820890503
6.5,368.4112526078676,20881.054007399696
6.6,367.65563655610634,20480.40410476906
6.7,366.90518670238623,20092.45015359894
6.8,366.1598251286951,19716.620226217146
6.9,365.4194755099613,19352.375808981913
7.0,364.68406307919327,18999.209409135572
7.1,363.95351459336655,18656.642364065334
7.2,363.2277583000422,18324.222833288037
7.3,362.50672390470277,18001.52395563293
7.4,361.7903425387935,17688.142155991558
7.5,361.0785467284533,17383.695587670914
7.6,360.37127036392303,17087.822697856278
7.7,359.6684486696168,16800.180904988152
7.8,358.9700181748453,16520.44537800625
7.9,358.2759166851754,16248.307908430726
8.0,357.58608325441566,15983.475867154235
8.1,356.90045815721396,15725.671238620893
8.2,356.2189828622553,15474.629725782896
8.3,355.54160000604736,15230.09991986267
8.4,354.8682533672825,14991.842529517355
8.5,354.1988878417632,14759.62966451082
8.6,353.5334494178814,14533.244169454152
8.7,352.8718851526374,14312.479003583461
8.8,352.21414314819026,14097.136662910665
8.9,351.56017252892656,13887.028641412202
9.0,350.909923419037,13681.974928217158
9.1,350.26334692059174,13481.803538023605
9.2,349.620395092101,13286.350072212696
9.3,348.9810209275541,13095.457308348165
9.4,348.34517833592474,12908.974815945447
